id,official_name,short_name,created_at,updated_at
1,IND (  DC ) - Contigo Chile Mejor,IND,2025-12-12 15:17:11,2025-12-12 15:17:11
2,REP - Republicanos e Independientes,,2025-12-12 15:17:11,2025-12-12 15:17:11
3,IND (  EVO ) - Chile Vamos,IND,2025-12-12 15:17:11,2025-12-12 15:17:11
4,IND - Independiente fuera de pacto,,2025-12-12 15:17:11,2025-12-12 15:17:11
5,PH - Izquierda Ecologista Popular,,2025-12-12 15:17:13,2025-12-12 15:17:13
6,FRVS - Contigo Chile Mejor,,2025-12-12 15:17:13,2025-12-12 15:17:13
7,"AVP - Ecologistas, Animalistas e Independientes",,2025-12-12 15:17:13,2025-12-12 15:17:13
8,UDI - Chile Vamos,,2025-12-12 15:17:13,2025-12-12 15:17:13
9,IND (  PR ) - Contigo Chile Mejor,IND,2025-12-12 15:17:15,2025-12-12 15:17:15
10,IND (  PSC ) - Partido Social Cristiano e Independientes,IND,2025-12-12 15:17:18,2025-12-12 15:17:18
11,IND (  PL ) - Contigo Chile Mejor,IND,2025-12-12 15:17:18,2025-12-12 15:17:18
12,RN - Chile Vamos,,2025-12-12 15:17:18,2025-12-12 15:17:18
13,PSC - Partido Social Cristiano e Independientes,,2025-12-12 15:17:20,2025-12-12 15:17:20
14,FA - Contigo Chile Mejor,,2025-12-12 15:17:22,2025-12-12 15:17:22
15,IND (  PDG ) - Partido de la Gente e Independientes,IND,2025-12-12 15:17:22,2025-12-12 15:17:22
16,PC - Contigo Chile Mejor,,2025-12-12 15:17:25,2025-12-12 15:17:25
17,IND (  DEM ) - Centro Democr치tico,IND,2025-12-12 15:17:25,2025-12-12 15:17:25
18,IND (  UDI ) - Chile Vamos,IND,2025-12-12 15:17:27,2025-12-12 15:17:27
19,PS - Contigo Chile Mejor,,2025-12-12 15:17:29,2025-12-12 15:17:29
20,IND (  PPD ) - Contigo Chile Mejor,IND,2025-12-12 15:17:31,2025-12-12 15:17:31
21,IND (  REP ) - Republicanos e Independientes,IND,2025-12-12 15:17:31,2025-12-12 15:17:31
22,IND (  FA ) - Contigo Chile Mejor,IND,2025-12-12 15:17:34,2025-12-12 15:17:34
23,PPD - Contigo Chile Mejor,,2025-12-12 15:17:36,2025-12-12 15:17:36
24,IND (  PH ) - Izquierda Ecologista Popular,IND,2025-12-12 15:17:38,2025-12-12 15:17:38
25,IND (  PS ) - Contigo Chile Mejor,IND,2025-12-12 15:17:41,2025-12-12 15:17:41
26,AH - Contigo Chile Mejor,,2025-12-12 15:17:43,2025-12-12 15:17:43
27,"IND (  AVP ) - Ecologistas, Animalistas e Independientes",IND,2025-12-12 15:17:45,2025-12-12 15:17:45
28,DC - Contigo Chile Mejor,,2025-12-12 15:17:47,2025-12-12 15:17:47
29,PDG - Partido de la Gente e Independientes,,2025-12-12 15:17:50,2025-12-12 15:17:50
30,IND (  AMA ) - Centro Democr치tico,IND,2025-12-12 15:17:54,2025-12-12 15:17:54
31,IND (  RN ) - Chile Vamos,IND,2025-12-12 15:17:54,2025-12-12 15:17:54
32,IND (  AH ) - Contigo Chile Mejor,IND,2025-12-12 15:17:59,2025-12-12 15:17:59
33,IND (  PC ) - Contigo Chile Mejor,IND,2025-12-12 15:18:33,2025-12-12 15:18:33
34,DEM - Centro Democr치tico,,2025-12-12 15:18:33,2025-12-12 15:18:33
35,EVO - Chile Vamos,,2025-12-12 15:18:40,2025-12-12 15:18:40
36,PR - Contigo Chile Mejor,,2025-12-12 15:18:51,2025-12-12 15:18:51
37,PL - Contigo Chile Mejor,,2025-12-12 15:19:07,2025-12-12 15:19:07
38,IND (  PP ) - Izquierda Ecologista Popular,IND (  PP ),2025-12-13 15:06:23,2025-12-13 15:06:23
39,IND (  PTR ) - Izquierda de Trabajadores e Independientes,IND (  PTR ),2025-12-13 15:06:23,2025-12-13 15:06:23
40,IND (  FRVS ) - Contigo Chile Mejor,IND (  FRVS ),2025-12-13 15:06:23,2025-12-13 15:06:23
41,PP - Izquierda Ecologista Popular,PP,2025-12-13 18:01:14,2025-12-13 18:01:14
42,AMA - Centro Democr치tico,AMA,2025-12-13 18:01:14,2025-12-13 18:01:14
43,IND (  PI ) - Izquierda Ecologista Popular,IND (  PI ),2025-12-13 18:08:00,2025-12-13 18:08:00
44,IND - Contigo Chile Mejor,IND,2025-12-17 01:47:13,2025-12-17 01:47:13
45,PI - Izquierda Ecologista Popular,PI,2025-12-17 01:47:13,2025-12-17 01:47:13
